#tail	head	edge_weight	edge_type
P11021	P31749	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|MI:0813 (proximity ligation assay)|MI:0004 (affinity chromatography technology)
P11021	Q9NXR8	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	O95816	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	O00716	4.922930e-01	MI:0096 (pull down)
P11021	Q12933	7.500000e-01	MI:0676 (tandem affinity purification)|SPIKE
P11021	Q12931	2.014610e-01	MI:0401 (biochemical)
P11021	Q12834	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q14790	7.500000e-01	MI:0663 (confocal microscopy)|SPIKE
P11021	P10275	7.500000e-01	NetPath
P11021	Q9GZR7	7.500000e-01	MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
P11021	Q96EB6	7.500000e-01	MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P11021	P67809	2.014610e-01	MI:0401 (biochemical)
P11021	P25788	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P09651	7.457060e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P11021	Q9HCE1	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P62195	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	P11142	7.500000e-01	MI:0401 (biochemical)|NetPath|MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	Q9BZG8	2.804190e-01	MI:0018 (two hybrid)
P11021	P49736	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P60484	7.500000e-01	MI:0027 (cosedimentation)|SPIKE
P11021	Q92630	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q9BUJ2	2.014610e-01	MI:0401 (biochemical)
P11021	Q9H3D4	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P06748	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P04049	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|MI:0027 (cosedimentation)
P11021	Q14103	7.457060e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P11021	Q96Q83	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q01844	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q04206	7.500000e-01	SPIKE|MI:0004 (affinity chromatography technology)
P11021	P15927	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P31689	2.014610e-01	MI:0401 (biochemical)
P11021	P04629	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P46940	2.014610e-01	MI:0401 (biochemical)
P11021	Q13233	7.500000e-01	MI:0676 (tandem affinity purification)|SPIKE
P11021	P60709	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q00653	7.500000e-01	MI:0676 (tandem affinity purification)|SPIKE
P11021	Q9UBS0	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q9Y6K9	7.500000e-01	MI:0676 (tandem affinity purification)|SPIKE
P11021	O75460	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|SPIKE|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P11021	P62993	7.500000e-01	MI:0018 (two hybrid)|SPIKE|MI:0398 (two hybrid pooling approach)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
P11021	P27708	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	P16949	7.500000e-01	MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|SPIKE
P11021	P25963	7.500000e-01	MI:0676 (tandem affinity purification)|SPIKE
P11021	Q13164	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q14999	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P23258	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P55060	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q14257	7.457060e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P11021	O43504	2.014610e-01	MI:0401 (biochemical)
P11021	O43290	2.014610e-01	MI:0401 (biochemical)
P11021	P25705	2.014610e-01	MI:0401 (biochemical)
P11021	P17066	2.014610e-01	MI:0401 (biochemical)
P11021	Q04837	2.014610e-01	MI:0401 (biochemical)
P11021	P14866	2.014610e-01	MI:0401 (biochemical)
P11021	Q9GZQ8	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P11021	Q13469	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P24941	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q09472	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P63104	7.500000e-01	MI:0096 (pull down)|SPIKE
P11021	Q9Y618	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P22626	7.457060e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P11021	Q9UNF1	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P00533	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|SPIKE|MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P11021	Q02363	7.500000e-01	MI:0018 (two hybrid)|MI:0397 (two hybrid array)|MI:0004 (affinity chromatography technology)
P11021	P02751	7.241830e-01	MI:0030 (cross-linking study)|MI:0004 (affinity chromatography technology)
P11021	Q15788	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q13573	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	P68431	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q504Q3	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q7L5N1	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q13131	7.500000e-01	MI:0676 (tandem affinity purification)|SPIKE
P11021	P46379	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P04637	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|MI:0004 (affinity chromatography technology)|SPIKE
P11021	Q9Y4K3	7.500000e-01	NetPath|MI:0676 (tandem affinity purification)|SPIKE
P11021	Q99459	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	Q7Z6Z7	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	O14641	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	P62851	2.014610e-01	MI:0401 (biochemical)
P11021	P0DMV8	7.500000e-01	MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0401 (biochemical)
P11021	P52597	2.014610e-01	MI:0401 (biochemical)
P11021	P05412	4.138850e-01	MI:0006 (anti bait coimmunoprecipitation)
P11021	Q13620	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P62917	2.014610e-01	MI:0401 (biochemical)
P11021	P31943	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P49407	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	P31947	2.014610e-01	MI:0401 (biochemical)
P11021	P31946	7.500000e-01	MI:0019 (coimmunoprecipitation)|MI:0401 (biochemical)|MI:0004 (affinity chromatography technology)|SPIKE
P11021	P40337	4.922930e-01	MI:0096 (pull down)
P11021	P23396	2.014610e-01	MI:0401 (biochemical)
P11021	Q12772	7.500000e-01	MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
P11021	Q9UNE7	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	P08670	5.641670e-01	MI:0676 (tandem affinity purification)|MI:2222 (inference by socio-affinity scoring)
P11021	Q16881	2.014610e-01	MI:0401 (biochemical)
P11021	Q9BRK5	7.457060e-01	MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
P11021	Q13177	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	P25054	7.500000e-01	MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
P11021	P04792	7.500000e-01	MI:0018 (two hybrid)|MI:0097 (reverse ras recruitment system)
P11021	P27694	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P19838	7.500000e-01	MI:0676 (tandem affinity purification)|SPIKE
P11021	P78527	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	P55072	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P07288	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P25490	6.664410e-01	MI:0428 (imaging technique)
P11021	P14625	7.500000e-01	NetPath|MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)|MI:0401 (biochemical)
P11021	P55210	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P10809	4.784620e-01	MI:0027 (cosedimentation)|MI:0401 (biochemical)
P11021	O75147	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P11387	7.500000e-01	NetPath
P11021	P11441	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	P08238	2.014610e-01	MI:0401 (biochemical)
P11021	P62829	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q9HCE7	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P38936	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q8TCJ0	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P05787	4.922930e-01	MI:0096 (pull down)
P11021	Q92597	7.500000e-01	MI:0006 (anti bait coimmunoprecipitation)|SPIKE|MI:0004 (affinity chromatography technology)
P11021	P36873	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P50750	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P50454	2.014610e-01	MI:0401 (biochemical)
P11021	P62249	2.014610e-01	MI:0401 (biochemical)
P11021	Q99615	2.014610e-01	MI:0401 (biochemical)
P11021	Q05086	4.922930e-01	MI:0096 (pull down)
P11021	Q15843	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	Q9UQL6	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P34931	2.014610e-01	MI:0401 (biochemical)
P11021	P34932	2.014610e-01	MI:0401 (biochemical)
P11021	P07900	7.500000e-01	NetPath|MI:0004 (affinity chromatography technology)
P11021	Q9H0W5	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	P25685	7.107490e-01	MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
P11021	Q13043	3.899580e-01	MI:0676 (tandem affinity purification)
P11021	P16104	3.111330e-01	MI:0004 (affinity chromatography technology)
P11021	O14920	7.500000e-01	MI:0676 (tandem affinity purification)|SPIKE
P11021	O15264	3.488040e-01	MI:0007 (anti tag coimmunoprecipitation)
P11021	Q13501	4.922930e-01	MI:0096 (pull down)
