======================================================================
  NEIGHBOR REPORT
======================================================================
  Protein            : P04637
  Total degree       : 2183
  In-degree          : 1076  (proteins pointing TO this node)
  Out-degree         : 1107 (proteins this node points TO)
======================================================================

OUTGOING (successors, 1107 proteins)
----------------------------------------------------------------------
  Neighbor                Confidence   Weight(1/conf)  Method
  Q96PG8                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|MI:0402 (chromatin immunoprecipitation assay)|SPIKE
  P06748                      0.7500           1.3333  MI:0107 (surface plasmon resonance)|MI:0004 (affinity chromatography technology)|MI:0030 (cross-linking study)|MI:0096 (pull down)|SPIKE
  P05549                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0428 (imaging technique)|SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q13263                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)
  Q9UPR3                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)
  Q8N680                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P20248                      0.7500           1.3333  MI:0096 (pull down)|SPIKE
  Q9H0A0                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q03013                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  P63151                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|SPIKE
  Q07955                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)
  P35232                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|MI:0416 (fluorescence microscopy)|MI:0663 (confocal microscopy)|MI:0428 (imaging technique)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
  P05109                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  Q13330                      0.7500           1.3333  MI:0428 (imaging technique)|SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q9GZV1                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  O95365                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q00987                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0415 (enzymatic study)|MI:0090 (protein complementation assay)|MI:0813 (proximity ligation assay)|MI:0402 (chromatin immunoprecipitation assay)|MI:0004 (affinity chromatography technology)|MI:0114 (x-ray crystallography)|MI:0007 (anti tag coimmunoprecipitation)|MI:0071 (molecular sieving)|MI:0018 (two hybrid)|MI:0107 (surface plasmon resonance)|MI:0047 (far western blotting)|KEGG activation|SPIKE|MI:0411 (enzyme linked immunosorbent assay)|MI:0055 (fluorescent resonance energy transfer)|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)|MI:0401 (biochemical)
  Q96RL1                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  O15111                      0.7500           1.3333  SPIKE|MI:0004 (affinity chromatography technology)
  Q13233                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q5JVS0                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P13639                      0.7500           1.3333  SPIKE|MI:0007 (anti tag coimmunoprecipitation)|MI:0004 (affinity chromatography technology)
  Q8IWT3                      0.7500           1.3333  MI:0676 (tandem affinity purification)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0018 (two hybrid)|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)|MI:0401 (biochemical)
  P04183                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  P60953                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  P15884                      0.7500           1.3333  MI:0676 (tandem affinity purification)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q15648                      0.7500           1.3333  MI:0019 (coimmunoprecipitation)|MI:0006 (anti bait coimmunoprecipitation)|SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P31350                      0.7500           1.3333  MI:0019 (coimmunoprecipitation)|SPIKE|MI:0416 (fluorescence microscopy)|MI:0004 (affinity chromatography technology)
  P67870                      0.7500           1.3333  MI:0090 (protein complementation assay)|SPIKE
  Q96SB4                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q86XK2                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
  Q16594                      0.7500           1.3333  MI:0019 (coimmunoprecipitation)|MI:0071 (molecular sieving)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P84022                      0.7500           1.3333  MI:0428 (imaging technique)|NetPath|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q13535                      0.7500           1.3333  MI:0424 (protein kinase assay)|MI:0415 (enzymatic study)|MI:0004 (affinity chromatography technology)|MI:0096 (pull down)|SPIKE
  O15205                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|SPIKE
  P43246                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|SPIKE
  O15169                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q6GPH4                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P53801                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q01105                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P35354                      0.7500           1.3333  MI:0401 (biochemical)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|SPIKE
  O14737                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  O60729                      0.7500           1.3333  SPIKE|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P49674                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0813 (proximity ligation assay)|SPIKE
  Q9ULJ6                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P15941                      0.7500           1.3333  MI:0428 (imaging technique)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q13547                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0813 (proximity ligation assay)|MI:0004 (affinity chromatography technology)|MI:0428 (imaging technique)|SPIKE|MI:0006 (anti bait coimmunoprecipitation)|MI:0096 (pull down)
  O15524                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P11473                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0416 (fluorescence microscopy)|MI:0004 (affinity chromatography technology)|MI:0402 (chromatin immunoprecipitation assay)|SPIKE
  P00374                      0.7500           1.3333  MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)
  P12429                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  P25208                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|SPIKE|MI:0004 (affinity chromatography technology)
  O95251                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P09884                      0.7500           1.3333  SPIKE|MI:0004 (affinity chromatography technology)
  Q15466                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P62380                      0.7500           1.3333  KEGG binding/association|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q9H0F5                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P25963                      0.7500           1.3333  MI:0018 (two hybrid)|SPIKE|MI:0004 (affinity chromatography technology)
  P30405                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)
  Q96T88                      0.7500           1.3333  MI:0415 (enzymatic study)|MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  Q8N488                      0.7500           1.3333  MI:0006 (anti bait coimmunoprecipitation)|MI:0004 (affinity chromatography technology)|MI:0007 (anti tag coimmunoprecipitation)|SPIKE
  Q13283                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P06703                      0.7500           1.3333  MI:0071 (molecular sieving)|MI:0096 (pull down)
  P84090                      0.7500           1.3333  MI:0018 (two hybrid)|MI:0398 (two hybrid pooling approach)|SPIKE
  Q9NZM5                      0.7500           1.3333  MI:0096 (pull down)|MI:0004 (affinity chromatography technology)
  P18146                      0.7500           1.3333  MI:0004 (affinity chromatography technology)|SPIKE|MI:0007 (anti tag coimmunoprecipitation)|MI:0096 (pull down)|MI:0027 (cosedimentation)
